"","Vitro_RC_1","Vitro_RC_2","Vitro_RC_3","Vivo_IB_1","Vivo_IB_2","Vivo_IB_3","Vivo_UB_1","Vivo_UB_2","Vivo_UB_3"
"ENSMUSG00000029304",16.5661510468067,16.8456691976402,16.6889807130378,9.29343596077576,10.7715623680929,8.31185527092537,4.69186744929457,4.89443807358453,5.03862701445134
"ENSMUSG00000024661",15.5510807559938,15.5508016035931,15.4620403713446,14.0378566166712,13.7481592102559,12.857057409983,12.9807520416514,13.6049330823033,12.7725701973841
"ENSMUSG00000069516",15.5251606280624,15.3785304744929,15.2722458256439,12.708015730178,12.3211081502851,10.623607270773,8.81372256629348,9.01420120328652,8.96555601081993
"ENSMUSG00000027447",11.1386518482942,11.3394224213397,11.2388609221542,13.3573611699136,13.9259106105063,13.2128757058873,14.4262434088943,14.7646974885161,14.5716147255801
"ENSMUSG00000021939",15.1100585275634,14.9808950976145,14.6735540997871,12.341369430925,13.2431204382662,11.4573448699088,11.5070016581836,10.9748385782428,10.7159954386348
"ENSMUSG00000050708",14.7682878163382,14.9551734569774,14.8826343271947,12.6984824528446,13.1576690885168,11.6231165361767,11.7979962307213,11.0132761022136,11.0490569775883
"ENSMUSG00000007891",14.7271520986949,14.4851709246676,14.3511449452439,12.0895798048518,13.0891371684378,11.9012299839927,11.7279581327062,11.7430755374343,11.350263170535
"ENSMUSG00000031425",5.67305561753572,5.52516189656457,5.08806581853302,13.2128238485309,13.1244403234278,12.8389758703363,14.2681568598551,14.3408780770404,13.5213824744133
"ENSMUSG00000049775",13.461158327379,13.3305458423796,12.9372402095006,13.3822786795585,13.5603040621747,12.7727391902367,12.2196205428292,12.4676118020364,12.4061983235966
"ENSMUSG00000029580",13.6361556095779,12.8580479115425,12.849147190486,13.9364479942771,12.8789167340748,12.2308361682013,12.2105871657122,13.0644526758429,11.4248166772136
"ENSMUSG00000038642",13.077050688319,13.2457645072898,13.033935866322,13.1328192544079,13.6052619804562,12.0841766727683,12.7422178116012,12.5189042114269,12.4724376365172
"ENSMUSG00000049723",14.6236040743852,14.6730639349559,14.4598769080572,2.71440944862237,3.60246696624108,2.00006667719067,0.676804699620038,0.576847079502268,1.20723534883088
"ENSMUSG00000002985",13.448224568989,13.4941024615144,13.3894015681709,12.1537732221788,12.3450867712546,11.98204620468,12.4107006849621,12.2541883579058,12.2701529295842
"ENSMUSG00000032554",9.83907678187306,9.93282790235187,9.23825332865845,13.6729003904623,13.3034344357332,11.9847141231284,13.0088183706623,12.5911321253003,11.8898953321007
"ENSMUSG00000028691",14.0814584158843,14.0218301198661,14.1127977404506,10.5529066791371,10.5201819832779,10.1730131142238,9.98901476852792,10.3395274612064,9.88176963445979
"ENSMUSG00000050335",14.124485523718,14.3173440867026,14.3251279974459,9.23927647064981,9.36840140730858,7.1728730982161,2.95037144633174,3.38454756862622,3.73209252475106
"ENSMUSG00000029816",14.4645565602211,13.9425520026995,14.1021484507184,5.43690756952394,6.10974331952639,4.29443579755388,0.72580958538523,1.33699234333814,0.711920029560411
"ENSMUSG00000021477",13.7834150040002,13.5584656893284,13.6857400622715,11.0811386031367,11.7250840035637,10.4140144755592,9.99472750771135,10.0421596489201,9.33377318755004
"ENSMUSG00000036905",10.7662790530369,11.0672540585868,10.7067708883251,12.5812821452361,13.3142797195103,11.9094737198938,12.3434937602051,12.1951674350473,12.0831262168139
"ENSMUSG00000022108",12.037395933523,12.0855223694106,11.7863487369793,12.3260331951283,12.5651357592795,11.5068977966902,12.0290741285186,12.1384732708344,11.5697160349681
"ENSMUSG00000036896",10.4122272971815,10.8543080778004,10.2446262717634,12.273573682105,13.1111842262914,11.4786480199999,12.2230914518731,11.9626274610485,11.8896170472107
"ENSMUSG00000092341",8.94145362327319,9.7121588022964,8.98422584858123,11.2565929488815,11.6642915797736,12.0887155648948,12.8263931447969,11.7485368865355,13.0194802817522
"ENSMUSG00000021665",10.7615406065878,10.8409381928742,10.1587425562274,11.7991396278316,12.6887406801353,10.9571501136377,12.2419184558991,12.2603924151251,11.5683837153665
"ENSMUSG00000060802",11.2405175805947,11.4212514645927,11.2526686501401,12.9507184804705,12.2799021717635,10.8892871494401,10.9330574210168,11.1582470530357,10.2027487277989
"ENSMUSG00000016559",10.3393549789392,10.8124376966152,10.3857318959951,11.9938244547066,12.5263540139572,10.7346569577691,11.9501560909667,11.4551969200838,11.4379126664112
"ENSMUSG00000018593",11.0955353133103,10.9093450471076,10.934906431881,11.6995072219713,12.1089458390322,11.3675954124896,11.5375327622294,11.7679278234736,11.0365851212877
"ENSMUSG00000041607",7.9536286355727,8.79926430687413,8.9572237439112,11.8184924468479,11.6745415950025,10.6698237393084,12.3720346694713,12.460708922954,11.3512740073756
"ENSMUSG00000016256",11.9147187411409,12.2654839276387,12.3090938196106,11.3973931020472,12.0329720239414,10.3085838497728,10.4133153939869,10.194758717044,10.1910528710449
"ENSMUSG00000019505",10.9171226767022,11.4003815118198,11.057567018281,11.4709619751328,11.7579521579747,10.5123631349822,11.8668407012154,11.3545961954211,11.6518663792153
"ENSMUSG00000037706",9.33049584229372,10.0276659956228,9.49480322664153,11.4248628382475,12.1505925659355,10.5513984772636,12.1531903368356,11.5686401266706,11.5840042958484
"ENSMUSG00000018930",8.80033873818605,9.07702944347061,8.6182547290805,12.2258147159475,12.9371215489716,11.3477615475488,11.4533949550081,9.60283423369039,8.78402946497424
"ENSMUSG00000064351",10.951261952251,11.9251113755443,11.3853662389551,10.9760086253194,11.1259281246432,9.86077678683845,11.4703163716175,10.6357107612718,11.1289537415746
"ENSMUSG00000073411",11.3135202887057,11.7518171849589,11.9073187078972,11.876634257128,11.825296335062,10.0204405810752,10.0557441866051,9.07117494811788,9.02369009239705
"ENSMUSG00000025351",11.9978897273561,12.3211736364929,12.3758250461206,10.300140542678,11.0530371511996,9.9644309424893,9.62671222013838,9.54848967665208,9.90856937292112
"ENSMUSG00000064370",10.6596293052268,11.6487858839335,11.3115092856638,11.1438514908887,11.5342068759288,9.61042982665723,11.7040346279197,10.8031718326287,10.3778345504329
"ENSMUSG00000032294",12.6765015969127,12.5985798133895,12.355697025626,10.005581374056,10.2152426157792,9.17588249290285,8.78420372702075,8.22389285838594,8.15589155406363
"ENSMUSG00000018774",12.1956517813673,12.4516174351032,12.1265852675021,10.2135314963002,11.1506256996799,9.12955708635105,9.90797689112807,9.47597609306486,9.32117177933565
"ENSMUSG00000015656",11.2265356745996,11.4625185137477,11.212556235411,11.3293185911632,11.2177504757273,10.0421190487171,11.2908425299497,10.6869624226057,10.315254144868
"ENSMUSG00000063524",12.0646210077547,12.2376363410721,11.906230817071,10.5828175957723,10.8409060582571,10.0502462677124,10.1687432160484,9.1890525325691,9.46967833035311
"ENSMUSG00000027562",4.50149711128344,4.66399935721726,5.37324186148249,10.8494269737465,11.3471322747721,10.2108350971966,12.0218873920417,12.0665963335445,11.5718278458784
"ENSMUSG00000018293",11.5488493661285,12.015240786462,11.6780601446481,11.114402504898,11.2940945047431,9.83992525469503,9.96218522012528,9.41738675581099,9.74949739223715
"ENSMUSG00000034708",11.4426296992277,11.2416827149309,11.188571258625,11.5015693598002,11.6610297233775,10.4564632720565,9.91624737802853,9.89900777259787,9.16145714086682
"ENSMUSG00000015090",1.17812320280921,2.1446887134761,1.89917333837058,10.1697626733258,10.3067626454079,10.3249841811469,11.9569868613607,12.4983565644115,11.3003674422226
"ENSMUSG00000001175",11.2322551936102,11.6156237696247,11.4716949497022,11.2259440780063,11.1184730192566,10.3393442005202,10.3266811163968,9.94384642126043,10.1528367894695
"ENSMUSG00000030342",11.0166954685698,11.29995977614,11.6278236702104,10.7091171831284,11.2881866290141,10.2977018486955,10.4792739095465,10.6810055359604,10.3728657555138
"ENSMUSG00000021250",6.794672682382,6.74456048164021,6.6023652293729,11.6444154548323,11.7930711656994,10.7003044320437,11.5922645198147,11.3086159361649,9.48927886949128
"ENSMUSG00000006782",5.71582565374832,5.82790291097825,5.79529960087677,11.1069530798306,10.7385643091354,10.8191340721036,11.6324756298177,11.87909951988,10.8926487001738
"ENSMUSG00000030695",11.8278235073314,11.9439723681764,11.7586938367072,10.1961713791515,10.2924389554378,9.59025064390976,10.3182801043555,10.0134380303469,9.91058228456366
"ENSMUSG00000031447",11.4157712589952,11.426565274997,11.3145709991,10.56782754248,10.9630079001869,9.74457998290374,10.7629996627852,10.5492626639217,9.89282706332804
"ENSMUSG00000021190",11.1052600200122,10.4814389684579,9.94024050976732,10.9361602128143,11.8102731376717,10.5503837863223,10.4338536112051,10.2975498786483,10.2195262934268
